year,make,model,body_styles,color,mileage,price,fuel_type,engine,transmission,safety_rating,trunk_space_liters,features,condition,location,vin,status,features_list,body_styles_list,search_text
2023,Audi,A4,Sedan,Rojo,15000,35000,Gasolina,2.0L Turbo,Automática,5,480,"Navegación GPS, Asientos de cuero, Cámara trasera, Control crucero adaptativo",Excelente,Madrid,WAUAF78E23A123456,Available,"['Navegación GPS', 'Asientos de cuero', 'Cámara trasera', 'Control crucero adaptativo']",['Sedan'],2023 audi a4 rojo gasolina excelente navegación gps asientos de cuero cámara trasera control crucero adaptativo sedan available
2023,BMW,X3,SUV,Negro,8000,45000,Gasolina,2.0L Turbo,Automática,5,550,"Techo panorámico, Asientos calefactados, Sistema de sonido premium, Sensores de aparcamiento",Excelente,Barcelona,WBAXG9C50DD123457,Available,"['Techo panorámico', 'Asientos calefactados', 'Sistema de sonido premium', 'Sensores de aparcamiento']",['SUV'],2023 bmw x3 negro gasolina excelente techo panorámico asientos calefactados sistema de sonido premium sensores de aparcamiento suv available
2023,Mercedes-Benz,C-Class,Sedan,Blanco,12000,42000,Gasolina,2.0L Turbo,Automática,5,455,"Asientos de cuero, Navegación, Control de crucero, Luces LED",Muy bueno,Valencia,WDDGF4HB1DA123458,Available,"['Asientos de cuero', 'Navegación', 'Control de crucero', 'Luces LED']",['Sedan'],2023 mercedes-benz c-class blanco gasolina muy bueno asientos de cuero navegación control de crucero luces led sedan available
2023,Toyota,Camry,Sedan,Azul,20000,28000,Híbrido,2.5L Híbrido,CVT,5,524,"Sistema de seguridad Toyota Safety Sense, Pantalla táctil, Cámara de respaldo",Bueno,Sevilla,4T1G11AK8JU123459,Available,"['Sistema de seguridad Toyota Safety Sense', 'Pantalla táctil', 'Cámara de respaldo']",['Sedan'],2023 toyota camry azul híbrido bueno sistema de seguridad toyota safety sense pantalla táctil cámara de respaldo sedan available
2023,Honda,CR-V,SUV,Verde,18000,32000,Gasolina,1.5L Turbo,CVT,5,589,"Honda Sensing, Asientos calefactados, Techo corredizo, Carga inalámbrica",Muy bueno,Bilbao,2HKRW2H85NH123460,Available,"['Honda Sensing', 'Asientos calefactados', 'Techo corredizo', 'Carga inalámbrica']",['SUV'],2023 honda cr-v verde gasolina muy bueno honda sensing asientos calefactados techo corredizo carga inalámbrica suv available
2023,Ford,F-150,Pickup,Gris,25000,38000,Gasolina,3.5L V6,Automática,4,1704,"Caja de carga resistente, Remolque hasta 5000kg, Pantalla SYNC 4",Bueno,Zaragoza,1FTFW1E50NFA123461,Available,"['Caja de carga resistente', 'Remolque hasta 5000kg', 'Pantalla SYNC 4']",['Pickup'],2023 ford f-150 gris gasolina bueno caja de carga resistente remolque hasta 5000kg pantalla sync 4 pickup available
2023,Volkswagen,Golf,Hatchback,Rojo,10000,25000,Gasolina,1.4L TSI,Manual,5,380,"Conectividad smartphone, Asientos deportivos, Luces LED",Excelente,Málaga,WVWZZZ1JZYW123462,Available,"['Conectividad smartphone', 'Asientos deportivos', 'Luces LED']",['Hatchback'],2023 volkswagen golf rojo gasolina excelente conectividad smartphone asientos deportivos luces led hatchback available
2023,Nissan,Altima,Sedan,Negro,22000,26000,Gasolina,2.5L,CVT,5,444,"Nissan Safety Shield, Asientos Zero Gravity, Navegación",Bueno,Murcia,1N4BL4BV4NC123463,Available,"['Nissan Safety Shield', 'Asientos Zero Gravity', 'Navegación']",['Sedan'],2023 nissan altima negro gasolina bueno nissan safety shield asientos zero gravity navegación sedan available
2023,Hyundai,Tucson,SUV,Blanco,16000,30000,Gasolina,2.5L,Automática,5,513,"SmartSense, Pantalla de 10.25 pulgadas, Carga inalámbrica",Muy bueno,Palma,KMHL14JA1PA123464,Available,"['SmartSense', 'Pantalla de 10.25 pulgadas', 'Carga inalámbrica']",['SUV'],2023 hyundai tucson blanco gasolina muy bueno smartsense pantalla de 10.25 pulgadas carga inalámbrica suv available
2023,Kia,Sorento,SUV,Azul,14000,35000,Híbrido,2.5L Híbrido,Automática,5,821,"7 asientos, Techo panorámico, Sistema de sonido Bose",Excelente,Las Palmas,5XYP34HC0PG123465,Available,"['7 asientos', 'Techo panorámico', 'Sistema de sonido Bose']",['SUV'],2023 kia sorento azul híbrido excelente 7 asientos techo panorámico sistema de sonido bose suv available
